0,0,0,0,1,8.2,4,32.81,14,114.85,138,1132.08,16,131.26,2,16.41,41.02,1394.59
0,0,1,4.25,5,21.26,24,102.05,57,242.37,376,1598.78,26,110.55,1,4.25,127.56,1955.95
3,8.3,6,16.6,56,154.95,14,38.74,274,758.14,1797,4972.19,136,376.3,22,60.87,218.59,6167.51
0,0,10,57.86,10,57.86,33,190.93,225,1301.78,716,4142.56,47,271.93,nan,nan,306.64,nan
0,0,nan,nan,4,32.04,14,112.14,91,728.93,1060,8490.87,91,728.93,5,40.05,nan,9988.79
7,4.63,77,50.98,136,90.05,449,297.29,2094,1386.46,7690,5091.64,454,300.6,134,88.72,442.95,6867.42
0,0,4,13.53,9,30.44,54,182.66,110,372.09,288,974.19,144,487.1,17,57.5,226.63,1890.88
8,13.13,34,55.79,98,160.8,128,210.02,608,997.6,2250,3691.79,125,205.1,9,14.77,439.73,4909.26
0,0,35,43.87,16,20.05,41,51.39,425,532.66,3149,3946.71,206,258.18,8,10.03,115.31,4747.58
29,26.88,141,130.69,453,419.89,1043,966.77,2397,2221.81,6121,5673.63,1070,991.8,18,16.68,1544.24,8903.93
1,3.11,29,90.25,71,220.96,131,407.69,468,1456.49,1817,5654.8,151,469.94,6,18.67,722.02,7599.9
12,44.42,21,77.73,309,1143.81,362,1340,478,1769.39,1460,5404.4,430,1591.71,20,74.03,2605.96,8839.53
3,6.54,36,78.53,58,126.52,269,586.8,582,1269.58,1786,3895.99,148,322.85,9,19.63,798.39,5508.05
16,27.26,59,100.51,261,444.61,531,904.55,1754,2987.92,2010,3424.02,517,880.7,46,78.36,1476.93,7371
0,0,nan,nan,0,0,9,65.82,67,489.98,283,2069.62,21,153.58,1,7.31,nan,2720.49
0,0,nan,nan,27,79.7,37,109.22,226,667.12,1618,4776.1,159,469.34,7,20.66,nan,5933.23
1,2.19,0,0,23,50.46,17,37.29,282,618.62,906,1987.5,232,508.94,7,15.36,89.94,3130.42
9,5.02,30,16.72,355,197.91,277,154.42,1596,889.74,4501,2509.23,1447,806.68,73,40.7,374.07,4246.34
0,0,2,13.24,10,66.18,5,33.09,99,655.15,414,2739.73,18,119.12,4,26.47,112.5,3540.47
7,2.39,146,49.94,710,242.88,1396,477.55,3977,1360.48,11514,3938.78,2452,838.8,97,33.18,772.77,6171.23
0,0,nan,nan,13,21.41,55,90.6,271,446.39,1468,2418.09,100,164.72,62,102.13,nan,3131.33
1946,26.59,2818,38.5,86001,1174.95,62778,857.68,99207,1355.37,235132,3212.39,112464,1536.49,4443,60.7,2097.71,6164.95
2,12.89,9,58.03,42,270.79,47,303.03,226,1457.12,547,3526.76,50,322.37,5,32.24,644.75,5338.49
